Group,Code,Name,Year,Antigen,Antigen_description,Coverage_category,Coverage_category_description,Target_number,Dodge,Coverage
Countries,DEU,Germany,2011,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6413098.0,6270201,97.77
Countries,DEU,Germany,2011,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6248723.0,5514030,88.24
Countries,DEU,Germany,2011,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6272858.0,5799387,92.45
Countries,DEU,Germany,2011,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6080352.0,4670926,76.82
Countries,DEU,Germany,2011,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,6259098.0,6179608,98.73
Countries,DEU,Germany,2011,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6409691.0,5759341,89.85
Countries,DEU,Germany,2011,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6219954.0,5621198,90.37
Countries,DEU,Germany,2011,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6128878.0,5420834,88.45
Countries,DEU,Germany,2011,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6177463.0,5584096,90.39
Countries,DEU,Germany,2011,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6219117.0,4740428,76.22
Countries,DEU,Germany,2012,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6394751.0,6100488,95.4
Countries,DEU,Germany,2012,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,6330342.0,4639201,73.29
Countries,DEU,Germany,2012,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6536464.0,6242125,95.5
Countries,DEU,Germany,2012,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6271809.0,4786398,76.32
Countries,DEU,Germany,2012,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,,5804991,93.8%
Countries,DEU,Germany,2012,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6350111.0,5808636,91.47
Countries,DEU,Germany,2012,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6242014.0,5707755,91.44
Countries,DEU,Germany,2012,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,6321818.0,5754548,91.03
Countries,DEU,Germany,2012,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6229885.0,5905964,94.8
Countries,DEU,Germany,2012,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,6386338.0,5279652,82.67
Countries,DEU,Germany,2013,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6058605.0,5998018,99.0
Countries,DEU,Germany,2013,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6375779.0,5144308,80.69
Countries,DEU,Germany,2013,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6217921.0,5810242,93.44
Countries,DEU,Germany,2013,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6393743.0,5266832,82.37
Countries,DEU,Germany,2013,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,6347970.0,5957013,93.8%
Countries,DEU,Germany,2013,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6266449.0,5290986,84.43
Countries,DEU,Germany,2013,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6083203.0,5764224,94.76
Countries,DEU,Germany,2013,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6398957.0,5893764,92.11
Countries,DEU,Germany,2013,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6212172.0,5711780,91.94
Countries,DEU,Germany,2013,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6527105.0,5490684,84.12
Countries,DEU,Germany,2014,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6400897.0,6180948,96.56
Countries,DEU,Germany,2014,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,6514969.0,5348408,82.09
Countries,DEU,Germany,2014,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6500249.0,6343840,97.59
Countries,DEU,Germany,2014,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6180263.0,5303367,85.8%
Countries,DEU,Germany,2014,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,6265378.0,5781681,92.28
Countries,DEU,Germany,2014,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6528495.0,5804788,88.91
Countries,DEU,Germany,2014,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6373643.0,5677913,89.08
Countries,DEU,Germany,2014,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,6108795.0,5774985,94.54
Countries,DEU,Germany,2014,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6311869.0,5718088,90.59
Countries,DEU,Germany,2014,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,6359691.0,5512735,86.68
Countries,DEU,Germany,2015,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6329666.0,6266369,99.0
Countries,DEU,Germany,2015,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6612346.0,5691172,86.07
Countries,DEU,Germany,2015,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6327671.0,6011996,95.01
Countries,DEU,Germany,2015,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6348821.0,5489747,86.47
Countries,DEU,Germany,2015,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,6220206.0,5814962,93.49
Countries,DEU,Germany,2015,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6226370.0,5757300,92.47
Countries,DEU,Germany,2015,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6404929.0,5390237,84.16
Countries,DEU,Germany,2015,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6311012.0,5844126,92.6
Countries,DEU,Germany,2015,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6418767.0,5634382,87.78
Countries,DEU,Germany,2015,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6468011.0,5371001,83.04
Countries,DEU,Germany,2016,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6493989.0,6369484,98.08
Countries,DEU,Germany,2016,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,6365663.0,5541077,87.05
Countries,DEU,Germany,2016,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6642316.0,6575892,99.0
Countries,DEU,Germany,2016,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6261227.0,5269438,84.16
Countries,DEU,Germany,2016,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,6539103.0,6369280,97.4
Countries,DEU,Germany,2016,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6860969.0,6379927,92.99
Countries,DEU,Germany,2016,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6667909.0,5643389,84.64
Countries,DEU,Germany,2016,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,6465148.0,6094818,94.27
Countries,DEU,Germany,2016,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6626832.0,5804307,87.59
Countries,DEU,Germany,2016,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,6444604.0,5418750,84.08
Countries,DEU,Germany,2017,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6576156.0,6510394,99.0
Countries,DEU,Germany,2017,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6510334.0,5293287,81.31
Countries,DEU,Germany,2017,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6540909.0,6475499,99.0
Countries,DEU,Germany,2017,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6535028.0,5439908,83.24
Countries,DEU,Germany,2017,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,6558688.0,6493101,99.0
Countries,DEU,Germany,2017,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6519446.0,6162404,94.52
Countries,DEU,Germany,2017,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6530870.0,6106656,93.5
Countries,DEU,Germany,2017,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6568410.0,6237269,94.96
Countries,DEU,Germany,2017,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6609602.0,5875032,88.89
Countries,DEU,Germany,2017,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6864716.0,5970042,86.97
Countries,DEU,Germany,2018,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6685026.0,6618175,99.0
Countries,DEU,Germany,2018,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,6536289.0,5620672,85.99
Countries,DEU,Germany,2018,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6517541.0,6452365,99.0
Countries,DEU,Germany,2018,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6378879.0,5736320,89.93
Countries,DEU,Germany,2018,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,,6865287,99.0
Countries,DEU,Germany,2018,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6505069.0,6440018,99.0
Countries,DEU,Germany,2018,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6800484.0,6075837,89.34
Countries,DEU,Germany,2018,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,6605018.0,6378747,96.57
Countries,DEU,Germany,2018,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6515255.0,6315129,96.93
Countries,DEU,Germany,2018,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,6487880.0,5752286,88.66
Countries,DEU,Germany,2019,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6646738.0,6580270,99.0
Countries,DEU,Germany,2019,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6722797.0,5923665,88.11
Countries,DEU,Germany,2019,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6752567.0,6685041,99.0
Countries,DEU,Germany,2019,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6749216.0,6135589,90.91
Countries,DEU,Germany,2019,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,6656636.0,6590069,99.0%
Countries,DEU,Germany,2019,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6771951.0,6388517,94.34
Countries,DEU,Germany,2019,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6886836.0,6817967,99.0
Countries,DEU,Germany,2019,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6795852.0,6405282,94.25
Countries,DEU,Germany,2019,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6849020.0,6406598,93.54
Countries,DEU,Germany,2019,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6866667.0,5893136,85.82
Countries,DEU,Germany,2020,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6699983.0,6598602,98.49
Countries,DEU,Germany,2020,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,6718601.0,5710653,85.0
Countries,DEU,Germany,2020,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6741197.0,6673785,99.0
Countries,DEU,Germany,2020,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6416211.0,5229815,81.51
Countries,DEU,Germany,2020,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,6586495.0,6381536,96.89
Countries,DEU,Germany,2020,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6624202.0,6155621,92.9%
Countries,DEU,Germany,2020,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6758149.0,6400443,94.71
Countries,DEU,Germany,2020,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,6814730.0,6292116,92.33
Countries,DEU,Germany,2020,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6504075.0,6246751,96.04
Countries,DEU,Germany,2020,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,6817545.0,5438722,79.78
Countries,DEU,Germany,2021,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6986804.0,6389323,91.45
Countries,DEU,Germany,2021,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6773853.0,5726116,84.53
Countries,DEU,Germany,2021,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6544446.0,6372910,97.38
Countries,DEU,Germany,2021,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,,5277445,80.52
Countries,DEU,Germany,2021,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,6583758.0,6255537,95.01
Countries,DEU,Germany,2021,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6513422.0,5830964,89.52
Countries,DEU,Germany,2021,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6946527.0,6296652,90.64
Countries,DEU,Germany,2021,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6876627.0,5713470,83.09
Countries,DEU,Germany,2021,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,7034024.0,6627182,94.22
Countries,DEU,Germany,2021,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6746493.0,5340252,79.16
Countries,DEU,Germany,2022,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6773460.0,6705725,99.0
Countries,DEU,Germany,2022,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,6808642.0,6457542,94.84
Countries,DEU,Germany,2022,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6806851.0,6738782,99.0
Countries,DEU,Germany,2022,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,7040226.0,6859084,97.4%
Countries,DEU,Germany,2022,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,7107331.0,7036257,99.0
Countries,DEU,Germany,2022,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6919177.0,6755580,97.64
Countries,DEU,Germany,2022,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,6958209.0,6888626,99.0
Countries,DEU,Germany,2022,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,6909659.0,6840562,99.0
Countries,DEU,Germany,2022,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6915037.0,6685530,96.68
Countries,DEU,Germany,2022,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,7002059.0,6498188,92.8
Countries,DEU,Germany,2023,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6973029.0,6903298,99.0
Countries,DEU,Germany,2023,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,7314725.0,6879840,94.05
Countries,DEU,Germany,2023,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,6930428.0,6861123,99.0
Countries,DEU,Germany,2023,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6921016.0,5932448,85.72
Countries,DEU,Germany,2023,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,6935902.0,6866542,99.0
Countries,DEU,Germany,2023,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,6920230.0,6627655,95.77
Countries,DEU,Germany,2023,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,7110476.0,6776436,95.3
Countries,DEU,Germany,2023,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,6906780.0,6837712,99.0
Countries,DEU,Germany,2023,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,7060777.0,6851539,97.04
Countries,DEU,Germany,2023,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,7154957.0,6052257,84.59
Countries,DEU,Germany,2024,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,,6785921,99.0
Countries,DEU,Germany,2024,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,6880431.0,6435974,93.54
Countries,DEU,Germany,2024,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6795557.0,6727601,99.0
Countries,DEU,Germany,2024,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,7237177.0,6280728,86.78
Countries,DEU,Germany,2024,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,7024496.0,6954251,99.0
Countries,DEU,Germany,2024,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,7177749.0,6918079,96.38
Countries,DEU,Germany,2024,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,7028065.0,6957784,99.0
Countries,DEU,Germany,2024,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,7190467.0,7118562,99.0
Countries,DEU,Germany,2024,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,6738639.0,6255893,92.84
Countries,DEU,Germany,2024,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,7289930.0,7064477,96.91
Countries,CHN,China,2010,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18277544.0,16183115,88.54
Countries,CHN,China,2010,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,18416981.0,13561874,73.64
Countries,CHN,China,2010,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18713004.0,15616418,83.45
Countries,CHN,China,2010,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18533572.0,13453069,72.59
Countries,CHN,China,2010,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,18141235.0,14159259,78.05
Countries,CHN,China,2010,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18641113.0,14830755,79.56
Countries,CHN,China,2010,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18118195.0,13271146,73.25
Countries,CHN,China,2010,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,17972107.0,15211336,84.64
Countries,CHN,China,2010,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18562264.0,14863166,80.07
Countries,CHN,China,2010,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,18615820.0,13423613,72.1%
Countries,CHN,China,2011,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,18651052.0,14668366,78.65
Countries,CHN,China,2011,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18404747.0,12907642,70.13
Countries,CHN,China,2011,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,18594779.0,15924301,85.64
Countries,CHN,China,2011,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18419953.0,12909407,70.08
Countries,CHN,China,2011,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,17880227.0,14128368,79.02
Countries,CHN,China,2011,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18844844.0,15432956,81.89
Countries,CHN,China,2011,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18490741.0,15253211,82.49
Countries,CHN,China,2011,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,18910980.0,15905895,84.11
Countries,CHN,China,2011,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,18411453.0,15243393,82.79
Countries,CHN,China,2011,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,18420325.0,13463548,73.09
Countries,CHN,China,2012,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18838493.0,16258974,86.31
Countries,CHN,China,2012,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,18730019.0,14465074,77.23
Countries,CHN,China,2012,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,19416167.0,15722652,80.98
Countries,CHN,China,2012,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18138090.0,12873142,70.97
Countries,CHN,China,2012,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,18862310.0,16306722,86.45
Countries,CHN,China,2012,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18709889.0,15668522,83.74
Countries,CHN,China,2012,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18691375.0,14604019,78.13
Countries,CHN,China,2012,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,18869896.0,15156916,80.32
Countries,CHN,China,2012,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,19535153.0,15578508,79.75
Countries,CHN,China,2012,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,18416945.0,13968308,75.84
Countries,CHN,China,2013,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,18550763.0,15636210,84.29
Countries,CHN,China,2013,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18840234.0,14024215,74.44
Countries,CHN,China,2013,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,18076908.0,15099564,83.53
Countries,CHN,China,2013,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,19022299.0,13555877,71.26
Countries,CHN,China,2013,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,18673009.0,15353323,82.22
Countries,CHN,China,2013,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17857486.0,15127423,84.71
Countries,CHN,China,2013,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18606374.0,14691618,78.96
Countries,CHN,China,2013,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,18308821.0,13813563,75.45
Countries,CHN,China,2013,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,19330198.0,16117275,83.38
Countries,CHN,China,2013,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,,13392086,69.93
Countries,CHN,China,2014,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18928423.0,16582724,87.61
Countries,CHN,China,2014,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,18692048.0,14693817,78.61
Countries,CHN,China,2014,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18567011.0,15839525,85.31
Countries,CHN,China,2014,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,19180142.0,13315475,69.4%
Countries,CHN,China,2014,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,,17665288,92.51
Countries,CHN,China,2014,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,19690013.0,14235437,72.3
Countries,CHN,China,2014,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,19435946.0,16523961,85.02
Countries,CHN,China,2014,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,18706767.0,15434426,82.51
Countries,CHN,China,2014,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,19455699.0,15827262,81.35
Countries,CHN,China,2014,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,19330957.0,13971814,72.28
Countries,CHN,China,2015,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,19498473.0,16559283,84.93
